Site,Year,Depth_HMRG_5m,CommCatch,NCCatch,Effluent,Golf 
87,2009,-1.869458437,0.442555183,45.28929901,10.74101734,20.40595245
88,2009,-4.265480995,0.442555183,11.72726822,1.977358103,47.63997269
89,2009,-3.267337322,0.442555183,35.62464523,4.212405205,46.39379883
90,2009,-4.9280653,0.442555183,48.07550049,1.173048258,43.4186058
91,2009,-4.911100388,0.442555183,35.52068329,0.185327992,1.745720029
92,2009,-4.868524551,0.442555183,48.00571442,0.325652689,4.069125175
93,2009,-6.746534824,0.442555183,13.20973015,0.298372805,5.051940918
94,2009,-5.196212769,0.442555183,13.4170332,0.117532857,0.944305122
95,2009,-5.257633209,0.442555183,48.12753296,0.033264536,0
96,2009,-4.842102051,0.442555183,35.53065109,0.892870128,0.216866106
97,2009,-4.419023037,0.442555183,13.0643301,1.125743032,0
98,2009,-4.130380154,0.442555183,44.41748428,2.503837824,74.74295807
99,2009,-5.775007725,0.442555183,48.26945496,0.279682338,53.5650444
100,2009,-4.383448124,0.442555183,30.34377098,0,7.41689682
101,2009,-3.642953396,0.442555183,18.47971535,0.038898677,0
102,2009,-4.814592361,0.442555183,18.52848244,0.135817036,0
103,2009,-3.178395987,0.442555183,14.40749931,0,0
104,2009,-6.009131432,0.442555183,45.17262268,0.092877232,16.16162682
105,2009,-5.831933975,2.384737968,48.56914139,0.127048075,2.250306129
106,2009,-8.316555977,2.384737968,24.67117691,0.018778536,6.548099041
107,2009,-5.042667866,2.384737968,48.56601715,3.676083326,4.970490456
108,2009,-6.258339405,2.384737968,13.11614323,1.337860227,0
109,2009,-5.99848938,2.384737968,13.49922562,0.09319371,0
110,2009,-7.632669449,2.384737968,48.66297913,0,0
111,2009,-5.70048666,2.384737968,36.40796661,86.72180176,0
112,2009,-5.360710621,2.384737968,35.98316574,148.5889893,0
113,2009,-5.603089809,2.384737968,48.67560959,208.3855286,0
114,2009,-5.019024372,2.384737968,36.0955925,88.29956055,0.731231987
115,2009,-6.018025398,2.384737968,45.79687119,16.3900013,28.63556671
116,2009,-4.002129555,2.384737968,48.57374573,13.19914818,43.49453735
117,2009,,2.384737968,23.51554871,3.612181425,6.523409367
118,2009,-7.991285324,2.384737968,48.64716721,0.603631496,21.08468056
119,2009,-6.567934036,2.384737968,35.07862854,2.85519886,22.62262344
120,2009,-6.0270257,2.384737968,21.62746048,0.242392629,0.668182671
121,2009,,0,0,19.58584213,0
122,2009,-5.291783333,1.116459424,36.36289978,57.87068176,0
123,2009,-8.053092003,2.384737968,45.69499969,3.688064337,0
124,2009,-3.940000534,2.384737968,48.518116,0.245599061,0
125,2009,-6.933945179,2.384737968,30.803936,12.5716114,0
126,2009,-6.65721941,2.384737968,48.3711586,16.07526016,0
127,2009,-5.501741886,2.384737968,27.29023361,2.546313524,0
128,2009,-6.260883331,2.384737968,35.70453262,11.75528049,0
129,2009,,2.384737968,17.79566956,1.528104186,0
130,2009,,2.384737968,9.352601051,4.83810091,0
131,2009,-4.463029385,2.384737968,30.30500221,22.12730789,0
132,2009,-8.729619026,2.384737968,8.570111275,13.5199995,0
133,2009,-8.145795822,2.384737968,9.931228638,6.08321619,0
134,2009,-5.557505131,2.384737968,12.26793766,0.087817118,0
135,2009,-5.939507961,2.384737968,4.678027153,0,0
136,2009,-2.60766387,2.384737968,17.54195023,19.24712563,0
137,2009,-6.250991344,2.384737968,34.4882431,15.56221485,0
138,2009,-4.833002567,1.217535647,47.79344559,5.418509007,0
139,2009,-3.373377562,1.217535647,21.80074883,0.838366866,0
140,2009,-4.922721863,1.217535647,9.80024147,0.052936401,0
141,2009,-4.847229958,1.217535647,21.51358032,0.165038794,0
142,2009,-5.853219032,1.217535647,18.04069328,0.104865752,0
143,2009,-7.240083218,1.217535647,4.985939026,0,0
144,2009,-7.240028381,1.217535647,34.30786514,0,0
145,2011,-4.674352169,0.072795659,20.32908249,0.056543872,0
146,2011,-4.894497871,0.072795659,11.73678303,0.121975206,0
147,2011,-7.134572506,0.072795659,9.707159042,0.046976347,0
148,2011,-9.498109818,0.072795659,27.44620514,0,0
149,2011,-7.098716736,0.366911379,25.74867058,0,0
150,2011,-4.834445953,0.366911379,25.84457397,14.12507725,0
151,2011,-3.924065828,0.366911379,25.81329155,27.24202538,0
152,2011,-4.996602535,0.366911379,29.06546974,13.23992729,0
153,2011,-4.504304409,0.366911379,11.02890396,10.11258125,1.20747E-05
154,2011,-2.2114501,0.366911379,38.66205597,26.13518715,27.77547073
155,2011,-5.333837986,0.366911379,7.964343071,13.86869717,28.56381226
156,2011,-4.739548206,0.366911379,41.14653778,3.061982632,38.18099213
157,2011,-7.687950611,0.366911379,27.48064613,3.792864084,49.54177094
158,2011,-5.100031853,0.366911379,27.49570465,1.626104116,32.97481537
159,2011,-4.558715343,0.366911379,10.9943943,0.463494807,40.18932343
160,2011,-5.127678871,0.366911379,10.97438622,0.233160213,2.56128335
161,2011,-5.029829979,0.366911379,7.948027134,0.496578425,7.323910236
162,2011,-4.230735779,0.366911379,9.96417141,0.014960801,0.549311399
163,2011,-5.032541275,0.366911379,11.00405788,0.815334141,1.226409316
164,2011,-4.049438477,0.366911379,29.92533684,0.153789699,0
165,2011,-4.566668987,0.366911379,38.73302078,0.487638563,0
166,2011,-5.161329269,0.366911379,41.26348495,2.211043596,49.23141479
167,2011,-6.648623943,0.366911379,27.3819046,0,42.56078339
168,2011,-5.317093372,0.366911379,13.07118511,0,3.550296068
169,2011,-6.542408943,0.366911379,16.73291588,0,0
170,2011,-7.76500845,0.366911379,14.74265766,0.067191511,0
171,2011,-7.433384418,0.366911379,38.94379425,0.023033323,10.50322056
172,2011,-5.977938652,4.457744982,41.38311768,0.168785959,4.361617088
173,2011,-10.51328468,4.457744982,20.09108162,1.83384E-05,16.47982407
174,2011,-6.563076973,4.457744982,22.47192383,2.525416851,22.91669083
175,2011,-7.284270763,4.457744982,39.04934311,0,0
176,2011,-6.347145081,2.21319185,32.6286087,22.75831985,0
177,2011,-5.245332718,4.457744982,41.38711548,116.5802765,0
178,2011,-4.936851978,4.457744982,41.46538162,267.0630493,0
179,2011,-5.57593298,4.457744982,30.14570618,42.28039169,3.21527648
180,2011,-8.599197388,4.457744982,38.93934631,21.53047943,12.98174
181,2011,-5.72484684,4.457744982,39.25370789,16.24566841,48.23335266
182,2011,,4.457744982,18.8893013,4.823401451,11.15989208
183,2011,,4.457744982,41.45692062,0.81876266,17.12062836
184,2011,-12.92009068,4.457744982,27.52976227,2.482197285,25.40635872
185,2011,-4.71189785,4.457744982,6.338645935,0.579966486,2.996994257
186,2011,-5.114082813,4.457744982,19.87970352,9.145138741,0
187,2011,-6.038431644,4.457744982,38.83571625,18.65880013,0
188,2011,-8.06434536,4.457744982,38.94195175,0.716063499,0
189,2011,-5.620159149,4.457744982,11.11009121,7.405535221,0
190,2011,-9.58181572,4.457744982,38.90765762,16.29353142,0
191,2011,-4.322072506,4.457744982,21.10956383,3.971588135,0
192,2011,-5.568934917,4.457744982,41.31780243,12.34921837,0
193,2011,,4.457744982,19.51133919,3.15340209,0
194,2011,,4.457744982,7.835426807,3.746227026,0
195,2011,,4.457744982,21.57913399,7.91792345,0
196,2011,,4.457744982,6.154010773,25.13483047,0
197,2011,-23.4481163,4.457744982,22.34090614,6.690249443,0
198,2011,-12.32044315,4.457744982,8.186385155,1.055375934,0
199,2011,-7.379890919,4.457744982,10.41702938,0,0
200,2011,-6.622581005,4.457744982,12.66074562,7.310031414,0
201,2011,-6.864239216,4.457744982,29.02455521,20.66988564,0
202,2011,-10.2065134,1.049459659,41.17731094,6.715883732,0
203,2011,-4.611189842,1.049459659,22.14179802,1.197823882,0
204,2011,-8.617232323,1.049459659,25.69315338,0.081846513,0
205,2011,-5.954693794,1.049459659,18.16369629,0.186618999,0
206,2011,-5.37776947,1.049459659,15.47347736,0.027587002,0
207,2011,-7.317759514,1.049459659,6.250051022,0,0
208,2011,,0,18.90619659,0,0
209,2011,-13.40806866,1.049459659,14.79866219,0,0
210,2014,-5.825039387,0,16.25235939,0.078635551,0
211,2014,-6.123665333,0,3.545205116,0.099183537,0
212,2014,-5.980072021,0,10.78140163,0.120322615,0
213,2014,-5.214732647,0,1.592935324,0.116336159,0
214,2014,-7.551566124,0,3.204434156,0.006282943,0
215,2014,-6.345314503,0,5.197880745,0,0
216,2014,-4.638260841,0,10.34570599,0,0
217,2014,-8.395102501,0.174301884,15.98615646,0.134392217,0
218,2014,-8.837155342,0.174301884,15.96426678,8.996657372,0
219,2014,-6.265868664,0.174301884,15.93972111,23.10231018,0
220,2014,-6.250976563,0.174301884,17.93868065,27.66936684,0
